index,score
ABLE,2.0
ABUNDANCE,2.0
ABUNDANT,2.0
ACCLAIMED,2.0
ACCOMPLISH,2.0
ACCOMPLISHED,2.0
ACCOMPLISHES,2.0
ACCOMPLISHING,2.0
ACCOMPLISHMENT,2.0
ACCOMPLISHMENTS,2.0
ACHIEVE,2.0
ACHIEVED,2.0
ACHIEVEMENT,2.0
ACHIEVEMENTS,2.0
ACHIEVES,2.0
ACHIEVING,2.0
ADEQUATELY,2.0
ADVANCEMENT,2.0
ADVANCEMENTS,2.0
ADVANCES,2.0
ADVANCING,2.0
ADVANTAGE,2.0
ADVANTAGED,2.0
ADVANTAGEOUS,2.0
ADVANTAGEOUSLY,2.0
ADVANTAGES,2.0
ALLIANCE,2.0
ALLIANCES,2.0
ASSURE,2.0
ASSURED,2.0
ASSURES,2.0
ASSURING,2.0
ATTAIN,2.0
ATTAINED,2.0
ATTAINING,2.0
ATTAINMENT,2.0
ATTAINMENTS,2.0
ATTAINS,2.0
ATTRACTIVE,2.0
ATTRACTIVENESS,2.0
BEAUTIFUL,2.0
BEAUTIFULLY,2.0
BENEFICIAL,2.0
BENEFICIALLY,2.0
BENEFIT,2.0
BENEFITED,2.0
BENEFITING,2.0
BENEFITTED,2.0
BENEFITTING,2.0
BEST,2.0
BETTER,2.0
BOLSTERED,2.0
BOLSTERING,2.0
BOLSTERS,2.0
BOOM,2.0
BOOMING,2.0
BOOST,2.0
BOOSTED,2.0
BREAKTHROUGH,2.0
BREAKTHROUGHS,2.0
BRILLIANT,2.0
CHARITABLE,2.0
COLLABORATE,2.0
COLLABORATED,2.0
COLLABORATES,2.0
COLLABORATING,2.0
COLLABORATION,2.0
COLLABORATIONS,2.0
COLLABORATIVE,2.0
COLLABORATOR,2.0
COLLABORATORS,2.0
COMPLIMENT,2.0
COMPLIMENTARY,2.0
COMPLIMENTED,2.0
COMPLIMENTING,2.0
COMPLIMENTS,2.0
CONCLUSIVE,2.0
CONCLUSIVELY,2.0
CONDUCIVE,2.0
CONFIDENT,2.0
CONSTRUCTIVE,2.0
CONSTRUCTIVELY,2.0
COURTEOUS,2.0
CREATIVE,2.0
CREATIVELY,2.0
CREATIVENESS,2.0
CREATIVITY,2.0
DELIGHT,2.0
DELIGHTED,2.0
DELIGHTFUL,2.0
DELIGHTFULLY,2.0
DELIGHTING,2.0
DELIGHTS,2.0
DEPENDABILITY,2.0
DEPENDABLE,2.0
DESIRABLE,2.0
DESIRED,2.0
DESPITE,2.0
DESTINED,2.0
DILIGENT,2.0
DILIGENTLY,2.0
DISTINCTION,2.0
DISTINCTIONS,2.0
DISTINCTIVE,2.0
DISTINCTIVELY,2.0
DISTINCTIVENESS,2.0
DREAM,2.0
EASIER,2.0
EASILY,2.0
EASY,2.0
EFFECTIVE,2.0
EFFICIENCIES,2.0
EFFICIENCY,2.0
EFFICIENT,2.0
EFFICIENTLY,2.0
EMPOWER,2.0
EMPOWERED,2.0
EMPOWERING,2.0
EMPOWERS,2.0
ENABLE,2.0
ENABLED,2.0
ENABLES,2.0
ENABLING,2.0
ENCOURAGED,2.0
ENCOURAGEMENT,2.0
ENCOURAGES,2.0
ENCOURAGING,2.0
ENHANCE,2.0
ENHANCED,2.0
ENHANCEMENT,2.0
ENHANCEMENTS,2.0
ENHANCES,2.0
ENHANCING,2.0
ENJOY,2.0
ENJOYABLE,2.0
ENJOYABLY,2.0
ENJOYED,2.0
ENJOYING,2.0
ENJOYMENT,2.0
ENJOYS,2.0
ENTHUSIASM,2.0
ENTHUSIASTIC,2.0
ENTHUSIASTICALLY,2.0
EXCELLENCE,2.0
EXCELLENT,2.0
EXCELLING,2.0
EXCELS,2.0
EXCEPTIONAL,2.0
EXCEPTIONALLY,2.0
EXCITED,2.0
EXCITEMENT,2.0
EXCITING,2.0
EXCLUSIVE,2.0
EXCLUSIVELY,2.0
EXCLUSIVENESS,2.0
EXCLUSIVES,2.0
EXCLUSIVITY,2.0
EXEMPLARY,2.0
FANTASTIC,2.0
FAVORABLE,2.0
FAVORABLY,2.0
FAVORED,2.0
FAVORING,2.0
FAVORITE,2.0
FAVORITES,2.0
